Pub/Form Number,Pub/Form Date,Pub/Form Title
ATP 4-70,5/12/2014,"ASSISTANT SECRETARY OF THE ARMY FOR ACQUISITION, LOGISTICS, AND TECHNOLOGY FORWARD SUPPORT TO UNIFIED LAND OPERATIONS"
FM 3-24,5/13/2014,INSURGENCIES AND COUNTERING INSURGENCIES (THIS ITEM IS PUBLISHED W/ BASIC INCL C1)
ATP 3-11.50,5/15/2014,BATTLEFIELD OBSCURATION
ATP 3-11.46,5/20/2014,WEAPONS OF MASS DESTRUCTION--CIVIL SUPPORT TEAM OPERATIONS (THIS ITEM IS PUBLISHED W/ BASIC INCL C1)
FM 3-18,5/28/2014,SPECIAL FORCES OPERATIONS
ATP 4-14,5/29/2014,EXPEDITIONARY RAILWAY CENTER OPERATIONS
ATP 2-22.8,5/30/2014,(U) MEASUREMENT AND SIGNATURE INTELLIGENCE (S//NF)
FM 3-07,6/2/2014,STABILITY
ATP 3-37.2,6/3/2014,ANTITERRORISM
ATP 1-20,6/9/2014,MILITARY HISTORY OPERATIONS (THIS ITEM IS PUBLISHED W/ BASIC INCL C1)
ATP 4-02.3,6/9/2014,ARMY HEALTH SYSTEM SUPPORT TO MANEUVER FORCES
ATP 4-02.42,6/9/2014,ARMY HEALTH SYSTEM SUPPORT TO STABILITY AND DEFENSE SUPPORT OF CIVIL AUTHORITIES TASKS
ATP 4-42.2,6/9/2014,SUPPLY SUPPORT ACTIVITY OPERATIONS
ATP 3-13.10,6/17/2014,"EW REPROGRAMMING MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR REPROGRAMMING ELECTRONIC WARFARE (EW) SYSTEMS"
ATP 3-91.1,6/18/2014,THE JOINT AIR GROUND INTEGRATION CENTER
ATP 3-34.80,6/23/2014,GEOSPATIAL ENGINEERING (THIS ITEM IS PUBLISHED W/ BASIC INCL C1)
ATP 3-52.2,6/30/2014,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR THE THEATER AIR-GROUND SYSTEM (THIS ITEM IS PUBLISHED W/ BASIC INCL C1)"
ATP 6-22.1,7/1/2014,THE COUNSELING PROCESS
ATP 4-42,7/14/2014,GENERAL SUPPLY AND FIELD SERVICES OPERATIONS
ATP 3-90.37,7/29/2014,COUNTERING IMPROVISED EXPLOSIVE DEVICES
ATP 4-02.2,8/12/2014,MEDICAL EVACUATION (THIS ITEM IS PUBLISHED W/ BASIC INCL C1 DATED 25 OCT 2016)
ATP 2-33.4,8/18/2014,INTELLIGENCE ANALYSIS
ATP 2-01,8/19/2014,PLAN REQUIREMENTS AND ASSESS COLLECTION
FM 3-14,8/19/2014,ARMY SPACE OPERATIONS
ATP 4-31,8/27/2014,RECOVERY AND BATTLE DAMAGE ASSESSMENT AND REPAIR
ADP 1-01,9/2/2014,DOCTRINE PRIMER
FM 3-50,9/2/2014,ARMY PERSONNEL RECOVERY
ATP 4-35,9/5/2014,MUNITIONS OPERATIONS AND DISTRIBUTION TECHNIQUES
ATP 3-01.15,9/9/2014,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR AN INTEGRATED AIR DEFENSE SYSTEM (THIS ITEM IS PUBLISHED W/ BASIC INCL C1)"
ATP 3-18.14,9/12/2014,"SPECIAL FORCES VEHICLE-MOUNTED OPERATIONS TACTICS, TECHNIQUES, AND PROCEDURES"
ATP 3-90.8,9/17/2014,COMBINED ARMS COUNTERMOBILITY OPERATIONS
ATP 3-05.68,9/30/2014,SPECIAL OPERATIONS NONCOMBATANT EVACUATION OPERATIONS
ATP 3-14.5,10/15/2014,ARMY JOINT TACTICAL GROUND STATION (JTAGS) OPERATIONS
ATP 4-92,10/15/2014,CONTRACTING SUPPORT TO UNIFIED LAND OPERATIONS
ATP 3-91,10/17/2014,DIVISION OPERATIONS
ATP 6-02.40,10/27/2014,TECHNIQUES FOR VISUAL INFORMATION OPERATIONS (THIS ITEM IS PUBLISHED W/ BASIC INCL C1)
ATP 4-0.1,10/29/2014,ARMY THEATER DISTRIBUTION
ATP 3-18.13,10/30/2014,SPECIAL FORCES USE OF PACK ANIMALS
ATP 3-39.30,10/30/2014,SECURITY AND MOBILITY SUPPORT
ATP 3-07.10,11/1/2014,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR ADVISING FOREIGN SECURITY FORCES"
ATP 3-07.31,11/1/2014,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR PEACE OPERATIONS (THIS ITEM IS PUBLISHED W/ BASIC INCL C1)"
ATP 2-01.3,11/10/2014,INTELLIGENCE PREPARATION OF THE BATTLEFIELD/BATTLESPACE (THIS ITEM IS PUBLISHED W/ BASIC INCL C1)
ATP 4-45,11/24/2014,FORCE PROVIDER OPERATIONS
ATP 3-93,11/26/2014,THEATER ARMY OPERATIONS
ATP 3-34.22,12/5/2014,ENGINEER OPERATIONS--BRIGADE COMBAT TEAM AND BELOW
ATP 3-01.18,12/8/2014,STINGER TECHNIQUES
ATP 3-36,12/16/2014,ELECTRONIC WARFARE TECHNIQUES
ATP 4-46,12/17/2014,CONTINGENCY FATALITY OPERATIONS
ATP 3-04.64,1/22/2015,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR THE TACTICAL EMPLOYMENT OF UNMANNED AIRCRAFT SYSTEMS"
ATP 1-06.3,1/23/2015,BANKING OPERATIONS
ATP 3-39.10,1/26/2015,POLICE OPERATIONS
ATP 3-39.34,1/30/2015,MILITARY WORKING DOGS
ATP 2-19.4,2/10/2015,BRIGADE COMBAT TEAM INTELLIGENCE TECHNIQUES
ATP 1-19,2/13/2015,ARMY MUSIC
ATP 3-22.40,2/13/2015,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR THE EMPLOYMENT OF NONLETHAL WEAPONS"
ATP 3-34.84,2/13/2015,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR MILITARY DIVING OPERATIONS"
ATP 3-34.40,2/25/2015,GENERAL ENGINEERING
ATP 6-01.1,3/6/2015,TECHNIQUES FOR EFFECTIVE KNOWLEDGE MANAGEMENT
FM 3-99,3/6/2015,AIRBORNE AND AIR ASSAULT OPERATIONS
ATP 1-0.1,3/23/2015,G-1/AG AND S-1 OPERATIONS
ATP 3-35,3/23/2015,ARMY DEPLOYMENT AND REDEPLOYMENT
ATP 2-19.3,3/26/2015,CORPS AND DIVISION INTELLIGENCE TECHNIQUES (THIS ITEM IS PUBLISHED W/ BASIC INCL C1)
ATP 2-22.7,3/26/2015,GEOSPATIAL INTELLIGENCE
ATP 4-15,4/3/2015,ARMY WATERCRAFT OPERATIONS
ATP 3-39.20,4/6/2015,POLICE INTELLIGENCE OPERATIONS
ATP 3-52.1,4/9/2015,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR AIRSPACE CONTROL"
ATP 3-27.5,4/13/2015,AN/TPY-2 FORWARD BASED MODE RADAR OPERATIONS
ATP 3-55.3,4/14/2015,"ISR OPTIMIZATION MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR INTELLIGENCE, SURVEILLANCE, AND RECONNAISSANCE OPTIMIZATION"
ATP 2-22.31,4/17/2015,(U) HUMAN INTELLIGENCE MILITARY SOURCE OPERATIONS TECHNIQUES (S//NF)
ATP 3-53.1,4/23/2015,MILITARY INFORMATION IN SPECIAL OPERATIONS
ATP 2-91.8,5/5/2015,TECHNIQUES FOR DOCUMENT AND MEDIA EXPLOITATION
ATP 4-32.16,5/6/2015,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR EXPLOSIVE ORDNANCE DISPOSAL (THIS ITEM IS PUBLISHED W/ BASIC INCL C1)"
ATP 3-60,5/7/2015,TARGETING
ATP 3-34.23,6/10/2015,ENGINEER OPERATIONS - ECHELONS ABOVE BRIGADE COMBAT TEAM
ADRP 1,6/14/2015,THE ARMY PROFESSION
ATP 3-17.2,6/18/2015,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR AIRFIELD OPENING"
ATP 3-75,6/26/2015,RANGER OPERATIONS
ATP 2-91.7,6/29/2015,INTELLIGENCE SUPPORT TO DEFENSE SUPPORT OF CIVIL AUTHORITIES
FM 6-22,6/30/2015,LEADER DEVELOPMENT
ATP 5-0.1,7/1/2015,ARMY DESIGN METHODOLOGY
FM 3-98,7/1/2015,RECONNAISSANCE AND SECURITY OPERATIONS
ATP 4-32.2,7/15/2015,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR EXPLOSIVE ORDNANCE"
ATP 3-09.12,7/24/2015,FIELD ARTILLERY TARGET ACQUISITION
ATP 3-09.13,7/24/2015,THE BATTLEFIELD COORDINATION DETACHMENT
ATP 3-90.15,7/28/2015,SITE EXPLOITATION
FM 3-04,7/29/2015,ARMY AVIATION
ATP 3-11.41,7/30/2015,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR CHEMICAL, BIOLOGICAL, RADIOLOGICAL, AND NUCLEAR CONSEQUENCE MANAGEMENT OPERATIONS"
ATP 4-43,8/6/2015,PETROLEUM SUPPLY OPERATIONS
ATP 3-53.2,8/7/2015,MILITARY INFORMATION IN CONVENTIONAL OPERATIONS
ATP 3-34.5,8/10/2015,ENVIRONMENTAL CONSIDERATIONS
ATP 3-90.61,8/17/2015,BRIGADE SPECIAL TROOPS BATTALION
ATP 6-02.75,8/17/2015,TECHNIQUES FOR COMMUNICATIONS SECURITY (COMSEC) OPERATIONS
ATP 3-18.4,8/18/2015,SPECIAL FORCES SPECIAL RECONNAISSANCE
ATP 5-0.3,8/18/2015,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR OPERATION ASSESSMENT"
ATP 3-05.2,8/19/2015,FOREIGN INTERNAL DEFENSE
ATP 3-60.1,9/10/2015,"DYNAMIC TARGETING, MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR DYNAMIC TARGETING {MCRP 3-16D; NTTP 3-60.1; AFTTP 3-2.3}"
ATP 4-02.55,9/16/2015,ARMY HEALTH SYSTEM SUPPORT PLANNING
ATP 3-09.23,9/24/2015,FIELD ARTILLERY CANNON BATTALION
ATP 3-09.70,9/25/2015,PALADIN OPERATIONS
ATP 3-28.1,9/25/2015,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR DEFENSE SUPPORT OF CIVIL AUTHORITIES (DSCA)"
ADRP 1-03,10/2/2015,THE ARMY UNIVERSAL TASK LIST
ATP 4-44,10/2/2015,WATER SUPPORT OPERATIONS
FM 3-96,10/8/2015,BRIGADE COMBAT TEAM
ATP 2-22.82,10/26/2015,BIOMETRICS-ENABLED INTELLIGENCE (U)
ATP 3-35.1,10/27/2015,ARMY PRE-POSITIONED OPERATIONS
ATP 3-07.6,10/29/2015,PROTECTION OF CIVILIANS
ATP 4-02.1,10/29/2015,ARMY MEDICAL LOGISTICS
ATP 6-22.6,10/30/2015,ARMY TEAM BUILDING
FM 3-01,11/2/2015,U.S. ARMY AIR AND MISSILE DEFENSE OPERATIONS
ATP 3-55.6,11/10/2015,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR AIR-TO-SURFACE RADAR SYSTEM EMPLOYMENT {MCRP 2-24A; NTTP 3-55.13; AFTTP 3-2.2}"
ATP 3-05.60,11/30/2015,SPECIAL OPERATIONS COMMUNICATIONS SYSTEM
ATP 2-22.2-1,12/11/2015,"COUNTERINTELLIGENCE VOLUME I: INVESTIGATIONS, ANALYSIS AND PRODUCTION, AND TECHNICAL SERVICES AND SUPPORT ACTIVITIES (U)"
ATP 3-01.4,12/15/2015,MULTI-SERVICE TACTICS TECHNIQUES AND PROCEDURES FOR JOINT SUPPRESSION OF ENEMY AIR DEFENSE (J-SEAD) MCRP 3-22.2A; NTTP 3-01.42; AFTTP 3-2.28}
ATP 2-19.1,12/17/2015,(U) ECHELONS ABOVE CORPS INTELLIGENCE ORGANIZATIONS (S)
ATP 2-22.6,12/17/2015,(U) SIGNALS INTELLIGENCE TECHNIQUES (TS)
ATP 4-02.43,12/17/2015,ARMY HEALTH SYSTEM SUPPORT TO ARMY SPECIAL OPERATIONS FORCES
ATP 3-18.3,12/23/2015,(U) SPECIAL FORCES DIRECT ACTION OPERATIONS (C)
ATP 4-41,12/31/2015,ARMY FIELD FEEDING AND CLASS I OPERATIONS
ATP 6-02.70,12/31/2015,TECHNIQUES FOR SPECTRUM MANAGEMENT OPERATIONS
ATP 6-02.53,1/7/2016,TECHNIQUES FOR TACTICAL RADIO OPERATIONS
ATP 3-18.72,1/13/2016,(U) SPECIAL FORCES PERSONNEL RECOVERY (S//NF)
ATP 3-09.32,1/21/2016,"JFIRE MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR THE JOINT APPLICATION OF FIREPOWER {MCRP 3-16.6A; NTTP 3-09.2; AFTTP 3-2.6}"
ATP 3-34.20,1/21/2016,COUNTERING EXPLOSIVE HAZARDS
ATP 3-90.1,1/27/2016,ARMOR AND MECHANIZED INFANTRY COMPANY TEAM
ATP 6-02.60,2/3/2016,TECHNIQUES FOR WARFIGHTER INFORMATION NETWORK-TACTICAL
ATP 3-21.11,2/4/2016,SBCT INFANTRY RIFLE COMPANY
ATP 3-90.5,2/5/2016,COMBINED ARMS BATTALION
ATP 6-22.5,2/10/2016,A LEADERS GUIDE TO SOLDIER HEALTH AND FITNESS
ATP 3-04.18,2/15/2016,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR AIR OPERATIONS IN MARITIME SURFACE WARFARE"
ATP 3-09.02,2/16/2016,FIELD ARTILLERY SURVEY
ATP 4-10,2/18/2016,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR OPERATIONAL CONTRACT SUPPORT"
ATP 3-18.20,2/19/2016,(U) ADVANCED SPECIAL OPERATIONS TECHNIQUES (S//NF)
ATP 3-18.10,2/24/2016,SPECIAL FORCES AIR OPERATIONS (THIS ITEM IS PUBLISHED W/ BASIC INCL C1 DATED 19 OCT 2016)
ATP 3-09.42,3/1/2016,FIRE SUPPORT FOR THE BRIGADE COMBAT TEAM
ATP 3-34.81,3/1/2016,ENGINEER RECONNAISSANCE (THIS ITEM IS PUBLISHED W/ BASIC INCL C1)
ATP 3-01.48,3/4/2016,SENTINEL TECHNIQUES
ATP 3-90.4,3/8/2016,COMBINED ARMS MOBILITY
ATP 4-02.8,3/9/2016,FORCE HEALTH PROTECTION
ATP 3-01.64,3/10/2016,AVENGER BATTALION AND BATTERY TECHNIQUES
ATP 4-02.7,3/15/2016,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR HEALTH SERVICE SUPPORT IN A CHEMICAL, BIOLOGICAL, RADIOLOGICAL, AND NUCLEAR ENVIRONMENT"
ATP 3-01.7,3/16/2016,AIR DEFENSE ARTILLERY BRIGADE TECHNIQUES
ATP 3-21.21,3/18/2016,SBCT INFANTRY BATTALION
ATP 3-01.85,3/22/2016,PATRIOT BATTALION TECHNIQUES
ATP 3-01.16,3/31/2016,AIR AND MISSILE DEFENSE INTELLIGENCE PREPARATION OF THE BATTLEFIELD (AMD IPB)
ATP 3-55.4,4/5/2016,TECHNIQUES FOR INFORMATION COLLECTION DURING OPERATIONS AMONG POPULATIONS
ATP 3-92,4/7/2016,CORPS OPERATIONS
ATP 4-93,4/11/2016,SUSTAINMENT BRIGADE
ATP 3-21.8,4/12/2016,INFANTRY PLATOON AND SQUAD
ATP 3-04.1,4/13/2016,AVIATION TACTICAL EMPLOYMENT
ATP 3-01.87,4/15/2016,PATRIOT BATTERY TECHNIQUES
ATP 3-01.94,4/20/2016,US ARMY AIR AND MISSILE DEFENSE COMMAND OPERATIONS
ATP 3-27.3,4/20/2016,GROUND-BASED MIDCOURSE DEFENSE (GMD) OPERATIONS
ATP 3-06.1,4/27/2016,"AVIATION URBAN OPERATIONS MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR AVIATION URBAN OPERATIONS"
ATP 3-90.97,4/29/2016,MOUNTAIN WARFARE AND COLD WEATHER OPERATIONS
ATP 3-09.50,5/4/2016,THE FIELD ARTILLERY CANNON BATTERY
ATP 2-22.85,5/6/2016,"BIOMETRICS MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR TACTICAL EMPLOYMENT OF BIOMETRICS IN SUPPORT OF OPERATIONS"
ATP 1-06.4,5/12/2016,INTERNAL CONTROLS
ATP 3-20.96,5/12/2016,CAVALRY SQUADRON
ATP 3-11.32,5/13/2016,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR CHEMICAL, BIOLOGICAL, RADIOLOGICAL, AND NUCLEAR PASSIVE DEFENSE"
ATP 3-18.12,7/14/2016,SPECIAL FORCES WATERBORNE OPERATIONS (THIS ITEM IS PUBLISHED W/ BASIC INCL C1)
ATP 1-02.1,7/26/2016,"Multi-Service Tactics, Techniques, and Procedures for Multi-Service Brevity Codes"
ATP 3-01.8,7/29/2016,Techniques for Combined Arms for Air Defense
ATP 4-10.1,8/1/2016,LOGISTICS CIVIL AUGMENTATION PROGRAM SUPPORT TO UNIFIED LAND OPERATIONS
ATP 4-02.85,8/2/2016,"MULTI-SERVICE TACTICS, TECHNIQUES AND PROCEDURES FOR TREATMENT OF CHEMICAL WARFARE AGENT CASULTIES AND CONVENTIONAL MILITARY CHEMICAL INJURIES"
ATP 3-06.20,8/18/2016,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR CORDON AND SEARCH OPERATIONS"
ATP 3-18.11,8/18/2016,SPECIAL FORCES MILITARY FREE-FALL OPERATIONS (THIS ITEM IS PUBLISHED W/ BASIC INCL C1 & C2)
ATP 3-20.97,9/1/2016,CAVALRY TROOP
ATP 3-94.2,9/1/2016,DEEP OPERATIONS
ATP 2-22.33,9/9/2016,(U) 2X OPERATIONS AND SOURCE VALIDATION TECHNIQUES (S/NF)
FM 7-0,10/5/2016,TRAIN TO WIN IN A COMPLEX WORLD
FM 3-52,10/20/2016,AIRSPACE CONTROL
ATP 4-35.1,11/8/2016,AMMUNITION AND EXPLOSIVES HANDLER SAFETY TECHNIQUES
ADP 3-0,11/11/2016,OPERATIONS
ADRP 3-0,11/11/2016,OPERATIONS
ADRP 1-02,11/16/2016,TERMS AND MILITARY SYMBOLS
FM 3-13,12/6/2016,INFORMATION OPERATIONS
ATP 4-48,12/21/2016,AERIAL DELIVERY
ATP 2-22.2-2,12/22/2016,(U) COUNTER INTELLIGENCE VOLUME II: OPERATIONS AND COLLECTION ACTIVITIES (S)
ATP 4-32.1,1/24/2017,EXPLOSIVE ORDNANCE DISPOSAL (EOD) GROUP AND BATTALION HEADQUARTERS OPERATIONS (THIS ITEM IS PUBLISHED W/ BASIC INCL C1)
ATP 1-0.2,1/25/2017,THEATER-LEVEL HUMAN RESOURCES SUPPORT
ATP 3-37.10,1/27/2017,BASE CAMPS
ATP 4-32.3,2/1/2017,"EXPLOSIVE ORDNANCE DISPOSAL (EOD) COMPANY, PLATOON, AND TEAM OPERATIONS (THIS ITEM IS PUBLISHED W/ BASIC INCL C1)"
ATP 3-76,2/10/2017,SPECIAL OPERATIONS AVIATION
ATP 4-01.45,2/21/2017,"MULTI-SERVICE TACTICS, TECHNIQUES, AND PROCEDURES FOR TACTICAL CONVOY OPERATIONS"
ATP 6-0.5,3/1/2017,COMMAND POST ORGANIZATION AND OPERATIONS
ATP 1-05.04,3/23/2017,RELIGIOUS SUPPORT AND INTERNAL ADVISEMENT
FM 3-12,4/11/2017,CYBERSPACE AND ELECTRONIC WARFARE OPERATIONS
ATP 3-01.81,4/13/2017,COUNTER-UNMANNED AIRCRAFT SYSTEM TECHNIQUES
ATP 3-21.18,4/17/2017,FOOT MARCHES
